,street,dir_word,township,postal_code,count_date,year,section,count_direction,one_way,avg_perweekday,latitude,longitude
2216,RUE DE LA SOURCE,SOURCE (RUE DE LA SOURCE)_TOULOUSE,Toulouse,31555,2015-11-25,2015-01-01,ENTRE AV CASSELARDIT ET AV BIARRITZ,VERS AV DE BIARRITZ,True,193.0,43.60729472616373,1.4101614622105987
2217,RUE ARNAUD BERNARD,BERNARD (RUE ARNAUD BERNARD),Toulouse,31555,2014-02-14,2014-01-01,ENTRE PARKING ET RUE DES QUETEURS,SENS UNIQUE VERS RUE DES QUETEURS,True,1314.0,43.60987009106956,1.4391532633421171
2218,RUE DES PARADOUX,PARADOUX (RUE DES PARADOUX),Toulouse,31555,2014-02-03,2014-01-01,ENTRE COQ D'INDE ET METZ,SENS UNIQUE VERS METZ,True,989.0,43.59907202992441,1.4427229958343073
2219,RUE DES FELIBRES,FELIBRES (RUE DES FELIBRES),Toulouse,31555,2014-04-03,2014-01-01,ENTRE CHE VIREBENT ET CHE PALEFICAT,VERS CHE PALEFICAT,False,54.0,43.65020408990054,1.463657648389617
2220,AV JEAN MERMOZ,MERMOZ (AV JEAN MERMOZ),Fonbeauzard,31186,2014-04-24,2014-01-01,ENTRE DE GAULLE ET DE LA FONTAINE,VERS DE GAULLE,False,2403.0,43.68213163787996,1.435541135135382
2221,RUE DU CANON D ARCOLE,ARCOLE (RUE DU CANON D ARCOLE),Toulouse,31555,2014-05-14,2014-01-01,ENTRE MARQUETTE ET PAIX,VERS MARQUETTE,False,1023.0,43.613085539032994,1.4356436664177166
2222,RUE DE LA CHAUSSEE,CHAUSSEE (RUE DE LA CHAUSSEE),Toulouse,31555,2014-05-14,2014-01-01,ENTRE HAURIOU ET JUIN,VERS JUIN,False,9705.0,43.59269010901327,1.4424142340441264
2223,CHE DE LA SALVETAT,SALVETAT (CHE DE LA SALVETAT)__COLOMIERS,Colomiers,31149,2014-03-24,2014-01-01,ENTRE RPT JUPITER ET CHE DE AL NASQUE,VERS RPT JUPITER,False,9726.0,43.60165006998047,1.300048266036366
2224,RUE DES SPORTS,SPORTS (RUE DES SPORTS),Saint-Orens-De-Gameville,31506,2014-03-18,2014-01-01,ENTRE CHE DE NAZAN ET RUE DU STADE,VERS RUE DU STADE,False,690.0,43.5528011669002,1.5378656033695606
2225,ALL FORAIN FRANCOIS VERDIER,VERDIER (ALL FORAIN FRANCOIS VERDIER),Toulouse,31555,2014-05-14,2014-01-01,ENTRE ABEILLES ET VASES,VERS CARNOT,True,5541.0,43.59797504432406,1.4519100829269291
2226,RUE DE CHATEAUDUN,CHATEAUDUN (RUE DE CHATEAUDUN),Toulouse,31555,2014-05-14,2014-01-01,ENTRE JANY ET PRINTEMPS,SENS UNIQUE VERS PRINTEMPS,True,318.0,43.614510045673,1.445510080757316
2227,COTE DE CORNAUDRIC,CORNAUDRIC (COTE DE CORNAUDRIC),Union,31561,2014-06-02,2014-01-01,ENTRE RTE DE BESSIERES ET SAULES,VERS SAULES,False,164.0,43.66101600251906,1.4738595812280229
2228,RUE ADOLPHE COLL,COLL (RUE ADOLPHE COLL),Toulouse,31555,2014-06-09,2014-01-01,ENTRE SANGNIER ET ANTIPOUL,VERS RAVELIN,False,1940.0,43.59808796331664,1.4247117881592402
2229,RUE MARCEL DORET,DORET (RUE MARCEL DORET),Blagnac,31069,2014-06-10,2014-01-01,ENTRE DURAND ET PARIS,VERS DURAND,False,416.0,43.63259490725516,1.3785711304769037
2230,AV DE PARIS,PARIS (AV DE PARIS),Blagnac,31069,2014-06-10,2014-01-01,ENTRE DORET ET ENVOL,VERS ENVOL,False,19017.0,43.63208271298151,1.3777404886367615
2231,RUE DU STADE,STADE (RUE DU STADE),Brax,31088,2014-09-19,2014-01-01,ENTRE LATOUR ET DEL PRATS,VERS RTE LEGUEVIN,False,369.0,43.61522741545806,1.231979799073473
2232,PL PIERRE POTIER,POTIER (PL PIERRE POTIER),Toulouse,31555,2014-09-30,2014-01-01,,VERS LA GARONNE,False,275.0,43.56302003862724,1.4260098728026536
